player_name,team,conference,GamesPlayed,Min_per,Ortg,usage_rate,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Position
Isaiah Felder,South Carolina St.,MEAC,11,17.6,61.1,18.6,34.7,35.18,2.5,15.7,8.1,30.4,1,2,0.5,2,8,0.25,7,28,0.25,0,0.9,5.6,Sr,-7.49472,-4.41253,0.2727,1.4545,1.7273,0.4545,0.1818,0,2.3636,Wing G
Jalen Coleman-Lands,Kansas,B12,23,78.5,103.1,21.5,54,56.12,3.6,10.2,7.8,16.1,31,36,0.861,62,129,0.481,58,147,0.395,0.3,1.4,13,Sr,2.89361,-1.019,1.0435,2.8696,3.913,1.1739,0.8261,0.087,14.3043,Wing G
K.J. Walton,Akron,MAC,20,63,108.6,26.5,54.3,58.88,9.1,12.6,8.9,17.2,73,92,0.793,127,231,0.55,0,3,0,0.7,2.4,39.3,Sr,2.78785,-0.335789,2.35,3.55,5.9,1.15,1.25,0.2,16.35,Wing G
Jeriah Horne,Tulsa,Amer,32,61.3,116,20.8,55.2,58.61,5.8,23,7.5,13,48,53,0.906,71,139,0.511,52,131,0.397,0.3,1.5,19.6,Sr,5.22379,1.72158,1.125,4.7188,5.8438,0.9062,0.5938,0.0625,10.8125,Stretch 4
Eric Curry,Minnesota,B10,29,39.2,95.1,14.7,46.3,48.72,7,13.7,10.2,20.7,18,29,0.621,38,74,0.514,4,21,0.19,1.5,2.9,30.5,Sr,-1.25322,2.74677,1.1034,1.9655,3.069,0.8276,0.8276,0.2414,3.6552,Wing F
Jailyn Ingram,Georgia,SEC,18,59.2,98.4,23.5,46,47.59,5.3,22.7,14.7,15.6,16,22,0.727,48,116,0.414,25,70,0.357,1.8,1.8,11.8,Sr,1.32912,0.162368,1.2727,4.7273,6,1.7273,0.9091,0.4091,12.4091,Stretch 4
Quentin Jackson Jr.,Loyola Marymount,WCC,6,11.4,95.7,13.5,47.6,50.22,1.3,3.8,9.6,21.6,3,4,0.75,4,12,0.333,4,9,0.444,0,2.3,19,Sr,-3.10019,0.817904,0.1667,0.5,0.6667,0.8333,0.6667,0,3.8333,Scoring PG
Charlie Moore,Miami FL,ACC,16,67.1,96.3,26.6,47.4,50.23,2.5,9.6,28.2,21.9,32,42,0.762,57,128,0.445,28,81,0.346,0,1.9,20.1,Sr,1.58012,-0.160305,0.75,2.875,3.625,4.1875,1.0625,0,14.375,Scoring PG
Ben Shungu,Vermont,AE,15,73,114.7,20.4,51.9,59.99,2.3,15.9,23,18.6,51,59,0.864,36,64,0.563,13,43,0.302,1.1,1.6,55.1,Sr,2.20548,0.998674,0.5333,4,4.5333,3.5333,0.8,0.2667,10.8,Combo G
Keon Clergeot,Southeastern Louisiana,Slnd,24,72.7,101.5,25.9,47.1,57.34,2.6,9.1,15.7,22.9,154,192,0.802,67,148,0.453,31,93,0.333,0.3,1.7,79.7,Sr,0.146347,-2.34245,0.7917,2.25,3.0417,2.1667,1,0.0833,15.875,Combo G
Bryce Aiken,Seton Hall,BE,14,18.4,99.5,23.5,38.9,47.16,0,7.5,20.9,13.7,24,27,0.889,13,35,0.371,10,37,0.27,0,1.5,37.5,Sr,-0.495075,-0.999621,0,0.9286,0.9286,1.5,0.3571,0,5.7143,Scoring PG
Peter Kiss,Bryant,NEC,21,82.9,114,22.5,56.9,61.44,5.3,14.4,18.1,19.3,67,77,0.87,87,162,0.537,35,83,0.422,0.8,2.6,31.4,Sr,3.05264,0.946175,1.5,4.9545,6.4545,3.1818,1.8636,0.2727,16.6364,Wing G
George Willborn III,UC Riverside,BW,21,34.6,102.7,19.2,52.8,54.25,5.2,11.6,4.4,14.3,17,28,0.607,20,47,0.426,18,42,0.429,0.4,2.7,31.5,Sr,-1.12985,1.20466,0.619,1.5238,2.1429,0.3333,0.6667,0.0476,5.2857,Wing G
Kevin Marfo,Quinnipiac,MAAC,17,29.9,97,15,46.4,55.11,12.8,23.2,4.7,28.2,19,27,0.704,13,27,0.481,0,1,0,4,3.1,96.4,Sr,-1.51506,1.95567,1.3529,2.3529,3.7059,0.2941,0.6471,0.3529,2.6471,C
Jair Bolden,Butler,BE,25,81.4,96.7,17.8,46.2,48.44,1.4,12.3,6.1,10.1,30,41,0.732,28,79,0.354,59,173,0.341,0.7,1.3,16.3,Sr,0.617349,-0.0461956,0.4,3.08,3.48,0.92,0.68,0.2,10.52,Wing G
Joey Brunk,Ohio St.,B10,32,48.7,101.1,19.4,52.2,51.51,9.8,20.4,6.7,15.7,25,56,0.446,97,186,0.522,0,0,0,2,0.6,30.1,Sr,,,,,,,,,,
Davion Mintz,Kentucky,SEC,25,76.4,105.9,19.8,51.2,53.14,2.7,8.4,20.6,17.6,40,61,0.656,40,95,0.421,56,147,0.381,0.7,1.9,25.2,Sr,3.3843,0.97074,0.76,2.4,3.16,3.08,1,0.2,11.52,Combo G
Tyson Jolly,Iona,MAAC,8,28.5,95,20.3,50.9,52.95,4.2,17.2,5.7,20,15,25,0.6,16,35,0.457,9,23,0.391,2.4,0.6,43.1,Sr,0.153864,-0.0455424,0.875,3.875,4.75,0.75,0.25,0.5,9.25,Wing G
AJ Wilson,South Carolina,SEC,20,52,90.2,22.5,41.5,42.59,8,17.6,7.3,12.5,20,40,0.5,63,150,0.42,5,20,0.25,9.8,0.5,23.5,Sr,-2.42334,0.792186,1.619,3.3333,4.9524,0.8095,0.3333,2.0952,7.7619,PF/C
Xavier Green,Maryland,B10,22,84.5,80.8,15.5,39.1,42.18,2.3,10.8,12.3,24.8,22,30,0.733,37,103,0.359,17,57,0.298,1,1.4,18.8,Sr,-3.67215,-0.499795,0.7391,3.1739,3.913,2.5652,0.8261,0.2609,6.6957,Wing G
Tareq Coburn,St. John's,BE,21,75,120.9,19.4,56.5,62.04,3.9,9.1,5.1,11.6,82,100,0.82,38,74,0.514,53,134,0.396,2.6,2.2,48.1,Sr,4.59758,-0.269915,1.1429,2.619,3.7619,0.8571,1.2381,0.8095,15.0952,Wing G
Tavian Dunn-Martin,Florida Gulf Coast,ASun,18,75.4,92.8,21.6,43.9,47.67,0.8,8.1,23.7,21.8,32,42,0.762,29,70,0.414,31,102,0.304,0,1.9,24.4,Sr,-0.525115,-0.510929,0.2222,2.1667,2.3889,3.5556,1,0,10.1667,Scoring PG
Jakolby Long,Bethune Cookman,SWAC,12,6.2,89.3,14.9,50,59.91,2,12,9.4,32.7,5,6,0.833,4,8,0.5,0,0,0,1.9,2.9,75,Sr,-3.92821,0.663537,0.0769,0.6923,0.7692,0.3846,0.3077,0.0769,1.1538,Combo G
Taze Moore,Houston,Amer,21,49.8,105.7,29.8,51.8,56.25,5.4,17.5,25.8,22.8,51,62,0.823,76,164,0.463,18,35,0.514,3.4,3.7,31.2,Sr,5.18845,2.72705,1.087,2.9565,4.0435,2.7391,1.3043,0.6087,12.2609,Combo G
Justin Edler-Davis,Cal St. Bakersfield,BW,24,68,114.3,17.2,50.8,54.46,7,11.4,5.8,14.2,38,47,0.809,35,83,0.422,40,104,0.385,1,0.9,25.1,Sr,1.34845,-1.17853,1.6538,2.2692,3.9231,0.8462,0.4615,0.1923,9.3077,Wing G
Greg Lee,Penn St.,B10,20,68.3,99.5,28.5,52.7,54.21,6.7,23.7,22.8,18.9,31,47,0.66,104,187,0.556,9,36,0.25,0.8,0.5,21.1,Sr,1.92197,-0.311651,1.4762,5.7619,7.2381,2.381,0.2857,0.1905,12.9524,PF/C
Brandon Johnson,DePaul,BE,28,61.4,114.7,16.5,50,55.22,8.4,17.9,5.4,9.5,70,98,0.714,68,123,0.553,14,55,0.255,2.6,1.8,55.1,Sr,2.791,1.61952,2.1429,4.1429,6.2857,0.6786,0.8214,0.6786,8.8571,Stretch 4
Nick Robinson,Western Carolina,SC,6,14.5,93.5,19.1,44.7,50.29,3.8,15.5,16.7,20.5,9,10,0.9,11,22,0.5,4,16,0.25,1.5,2.7,26.3,Sr,-1.85733,1.44974,0.75,2.875,3.625,2,1.5,0.5,9.125,Wing G
Grant Golden,Richmond,A10,20,63.2,108,26.3,58.8,59.92,5.1,21.5,26.6,19.3,32,48,0.667,104,182,0.571,9,18,0.5,2,1.2,24,Sr,4.24008,1.05144,1.1429,4.9048,6.0476,3.4762,0.5714,0.4762,12.7143,PF/C
De'Monte Buckingham,UNC Greensboro,SC,24,47.5,103.7,21,43.7,47.66,6.2,20.6,13.3,15.3,28,34,0.824,42,96,0.438,18,62,0.29,0.6,1.6,21.5,Sr,1.21504,0.0290077,0.9615,3.3462,4.3077,1.2692,0.5769,0.1538,7.0769,Wing G
Nick Sherod,Richmond,A10,31,73.1,115.4,19.2,57.8,59.4,2.6,17.8,10.5,9.2,33,41,0.805,64,135,0.474,78,178,0.438,0.3,1.8,13.1,Sr,,,,,,,,,,
Chance Garvin,Idaho,BSky,12,25.4,74.1,16.7,44.4,43.53,2.8,12.6,19.2,33,0,2,0,5,13,0.385,10,32,0.313,1,2.1,4.4,Sr,-4.18751,-0.994459,0.4167,1.9167,2.3333,1.75,0.6667,0.1667,3.3333,Scoring PG
Perry Francois,Charlotte,CUSA,21,44.8,100,18.9,55.4,54.82,8.2,13.6,13.3,18.1,18,37,0.486,56,101,0.554,0,0,0,5.6,1.4,36.6,Sr,-1.54691,0.300366,1.5417,2.2917,3.8333,0.9583,0.4583,1.0417,7.3333,C
Vittorio Reynoso-Avila,Santa Clara,WCC,8,2.2,90.6,4.4,0,0,13.2,12.7,0,0,0,0,0,0,1,0,0,0,0,6,0,0,Sr,-2.42173,-0.35438,0.3333,0.3333,0.6667,0,0,0.1111,0,PF/C
Randy Miller Jr.,North Carolina Central,MEAC,24,51.1,84.1,19.3,39.5,45.25,0.7,10.1,7.1,18.5,36,48,0.75,24,70,0.343,19,63,0.302,0,1.6,36.1,Sr,-3.25032,-0.432993,0.16,1.68,1.84,0.72,0.6,0,6.4,Wing G
Ryan Gomes,Houston Baptist,Slnd,20,20,78.6,14.2,52.9,53.56,5.7,13.3,3.9,35.3,5,9,0.556,18,34,0.529,0,0,0,6.4,0.3,26.5,Sr,-7.34777,-1.44116,0.4762,1.2857,1.7619,0.2381,0.0476,0.5714,2.2381,C
Nolan Taylor,Southeast Missouri St.,OVC,18,29.7,110.6,23.2,55.7,57.92,8.6,18.2,12.5,12.9,40,64,0.625,59,106,0.557,0,0,0,0.7,0.9,60.4,Sr,1.28434,-1.18731,1.3333,2.7222,4.0556,0.8889,0.2778,0.1111,8.7778,PF/C
Scott Spencer,Tulane,Amer,19,38.3,93,19.4,51.3,51.75,4.4,13.1,6.4,20.9,7,12,0.583,12,43,0.279,32,74,0.432,0.3,1.6,10.3,Sr,1.47287,-2.02984,0.7,2,2.7,0.6,0.55,0.05,7,Wing G
Algevon Eichelberger,Cleveland St.,Horz,19,27.8,98,25,45.6,50.77,12,12,14.3,20.9,34,51,0.667,40,88,0.455,1,3,0.333,1.6,1.5,56,Sr,-1.93064,-0.750365,1.6316,1.6842,3.3158,1.1579,0.4211,0.2105,6.1579,Wing F
Eron Gordon,Valparaiso,MVC,26,72.6,91.7,15.1,48.6,52.48,1.4,19.6,10.3,21.3,42,62,0.677,29,61,0.475,27,82,0.329,1.6,1.4,43.4,Sr,-1.45236,0.936108,0.3214,4.75,5.0714,1.6071,0.7857,0.3929,6.8214,Wing G
Mitch Lightfoot,Kansas,B12,29,26.4,96.7,18.7,52.6,54.23,10.7,14.4,2.5,23.2,16,26,0.615,38,70,0.543,2,8,0.25,7.6,0.6,33.3,Sr,-3.05315,1.69688,1.0667,1.4,2.4667,0.1333,0.1,0.8,3.4,C
Nate Johnson,Xavier,BE,16,58.4,112.7,16.5,57.9,59.92,2.8,11.6,9.5,14,20,25,0.8,18,47,0.383,42,93,0.452,0.2,2.2,17.9,Sr,2.73253,0.742542,0.75,3.4375,4.1875,1.6875,1.1875,0.0625,11.375,Combo G
Drew Buggs,Winthrop,BSth,26,33.8,84.1,13.4,35.3,38.76,1.3,8.5,23.4,27.4,12,23,0.522,12,31,0.387,4,20,0.2,1.2,1.8,45.1,Sr,-2.07368,1.31678,0.1538,1.0385,1.1923,1.8846,0.4231,0.1538,1.8462,Scoring PG
Devin Kirby,Montana St.,BSky,18,28.2,110.5,7,64.3,52.04,8.8,9.2,5.2,17.3,3,13,0.231,9,14,0.643,0,0,0,1.9,0.2,92.9,Sr,-3.14393,-0.625437,1.2,1.1,2.3,0.4,0.05,0.25,1.5,C
Keith Fisher III,Pepperdine,WCC,29,59.3,92.3,24.8,47.6,50.22,11,18.3,7.9,20.9,54,88,0.614,97,208,0.466,9,24,0.375,1.3,1.5,37.9,Sr,,,,,,,,,,
Ben Coupet Jr.,Southern Illinois,MVC,25,80.6,111.3,16.3,55.4,58.23,4,9.6,12.5,17.2,48,67,0.716,43,80,0.537,43,114,0.377,1,2,34.5,Sr,1.21706,-0.453334,1.0385,2.5385,3.5769,1.9231,1.0385,0.2692,10.3462,Wing G
Kenny Cooper,Tennessee St.,OVC,24,31.3,82.2,14.8,34.7,40.96,1.3,8.6,19.8,28.9,19,30,0.633,10,32,0.313,7,27,0.259,0.9,2.4,50.8,Sr,-4.8136,1.05901,0.1667,1.1667,1.3333,1.75,0.625,0.125,2.5,Scoring PG
James Scott,Eastern Michigan,MAC,18,75.9,92.7,30.3,45.1,47.95,5.2,14.6,23,19.2,55,90,0.611,71,169,0.42,26,75,0.347,0.2,3,36.9,Sr,1.47596,0.309963,1.5909,3.4091,5,2.6364,1.5909,0.0455,13.7273,Combo G
Nick Hopkins,Siena,MAAC,11,54.6,122.4,10.4,56.1,58.42,2,8.8,5.6,6.3,12,16,0.75,10,18,0.556,18,48,0.375,0,2.3,24.2,Sr,-0.594437,0.910039,0.5455,2.6364,3.1818,1,1.2727,0,7.8182,Combo G
DeAndre Dishman,Middle Tennessee,CUSA,22,59.4,83.7,19.6,40.6,43.12,6.6,16.8,9.5,19.1,27,48,0.563,58,142,0.408,0,1,0,1,3.6,33.6,Sr,-2.64819,1.13486,1.4783,3.087,4.5652,1,1.4783,0.2174,6.3478,Wing G
Osinachi Smart,College of Charleston,CAA,17,64.5,115.1,11.9,64.8,63.74,10.9,19.2,1.7,21.1,17,30,0.567,35,54,0.648,0,0,0,2,1.4,55.6,Sr,-0.771446,-1.12202,2.2105,4.0526,6.2632,0.2632,0.5789,0.3684,4.8947,C
Corey Allen,Georgia St.,SB,20,79.3,112.1,21.3,55.4,58.85,1.9,12.3,15.3,16.4,47,56,0.839,48,99,0.485,53,131,0.405,0.3,1.1,24.3,Sr,3.33243,-1.44945,0.5455,3.5455,4.0909,2.7273,0.8182,0.0909,14.9545,Wing G
Justin Hopkins,Texas Southern,SWAC,25,72.5,104,15.3,46.2,53.19,5.2,9.2,7.6,18.1,67,89,0.753,47,100,0.47,17,57,0.298,0.3,1.6,56.7,Sr,-0.441919,-0.953245,1.3462,2.6154,3.9615,1.2308,0.8077,0.0769,8.2692,Wing G
Damien Sears,Southern,SWAC,22,25.5,114.2,13.6,71.8,68.71,11.5,19.6,5.4,25.7,10,19,0.526,28,38,0.737,0,1,0,2.1,2.4,48.7,Sr,-2.2737,0.350376,1.1739,2,3.1739,0.3478,0.6087,0.2609,3.0435,PF/C
Patrick Tape,San Francisco,WCC,10,4.6,79,22.1,38.5,36.91,15.3,13.2,7.4,23.2,1,4,0.25,5,13,0.385,0,0,0,4.7,6.4,30.8,Sr,-6.02294,3.77289,0.6,0.5,1.1,0.2,0.5,0.2,1.1,C
Jordan Bell,Pacific,WCC,17,64.5,107.2,17.7,52.6,52.92,6.3,27.9,6.6,11.1,10,18,0.556,43,79,0.544,19,57,0.333,4.2,2.5,13.2,Sr,1.90165,2.326,1.5,5.4444,6.9444,0.8889,1.1111,0.8889,8.9444,PF/C
Jalen Dupree,Tennessee St.,OVC,11,25.3,92.6,27.8,50.7,52.61,14.1,15.1,12,25.1,15,25,0.6,28,53,0.528,4,14,0.286,5.1,0.6,37.3,Sr,-1.07157,-1.47074,2.25,2.5,4.75,0.9167,0.1667,0.5833,8.0833,PF/C
Abdul Ado,Cincinnati,Amer,33,68.2,105.8,12.9,55.4,58.01,11.3,16.8,4.8,24.4,42,63,0.667,77,139,0.554,0,0,0,8.4,1.4,45.3,Sr,0.825936,2.97583,2.6061,4.2424,6.8485,0.7273,0.6364,2,5.9394,C
Jaylen Fornes,UNC Wilmington,CAA,20,44.3,105.1,19.6,50.7,53.19,3.9,11.7,6.5,12.8,31,47,0.66,39,84,0.464,23,61,0.377,0.2,1.5,32.4,Sr,0.213669,-1.82878,0.7619,2.3333,3.0952,0.8095,0.7619,0.0476,9.2857,Wing G
Stafford Trueheart,Hofstra,CAA,7,5.9,118.8,12.4,45.5,54.26,4.1,12.5,6.4,8.5,4,4,1,2,5,0.4,2,6,0.333,7.9,0,36.4,Sr,1.05715,0.269657,0.2857,0.8571,1.1429,0.2857,0,0.5714,2,PF/C
Dejuan Clayton,Hartford,AE,16,66.9,99.3,22.2,41.6,51.74,0.7,8.9,28.3,17.2,94,120,0.783,39,95,0.411,22,78,0.282,0,2.1,69.4,Sr,-1.36889,-0.738933,0.25,3.5,3.75,5.1875,1.5625,0,14.875,Scoring PG
Trevor Anderson,Valparaiso,MVC,29,33,123.1,11.7,63.7,64.49,2.2,9.5,16.3,16.5,12,18,0.667,20,38,0.526,13,24,0.542,0,0.9,29,Sr,1.39477,1.40274,0.2759,1.1379,1.4138,1.2414,0.2069,0,3.1379,Combo G
Rodney Miller Jr.,Miami FL,ACC,5,2.2,51.5,14.1,0,25.64,9.5,0,0,34.8,2,4,0.5,0,2,0,0,0,0,4.7,4.9,200,Sr,-10.0063,2.48017,0.4,0,0.4,0,0.4,0.2,0.4,C
Brevin Galloway,Boston College,ACC,4,13.7,109.1,34.5,54.1,55.81,1.3,14.6,29.8,13.4,7,10,0.7,7,18,0.389,13,31,0.419,2.6,3.9,20.4,Sr,8.90205,0.782029,0.25,2.75,3,2.75,1.5,0.5,15,Scoring PG
Chevez Goodwin,USC,P12,33,36.7,102.2,21,53.8,54.24,10.5,15.8,6.3,19.4,31,58,0.534,77,142,0.542,0,1,0,2.3,1.2,40.6,Sr,-0.321419,2.09035,1.303,2.1818,3.4848,0.4848,0.303,0.3333,5.6061,C
Mike Henn,Denver,Sum,18,63.3,96.8,15,53.5,56.37,2.5,13.5,10.7,20.8,19,25,0.76,17,39,0.436,24,60,0.4,0.7,0.8,25.3,Sr,-1.20679,-2.32357,0.7143,2.7619,3.4762,1.1429,0.4286,0.1429,7.8095,Wing F
Ty Graves,North Carolina Central,MEAC,13,24.6,67.4,12.9,29.3,31.72,1.8,4.6,6,17.3,2,2,1,1,9,0.111,5,20,0.25,0,1.4,6.9,Sr,-6.93251,-3.75267,0.2143,0.4286,0.6429,0.2857,0.2143,0.1429,1.8571,Scoring PG
Jeremy Sheppard,Rhode Island,A10,24,71.6,107.6,19.1,56.1,58.26,2,9,19.2,20.4,33,43,0.767,64,119,0.538,37,94,0.394,0.2,2.3,20.2,Sr,2.57377,0.848512,0.5417,2.5417,3.0833,2.8333,1.2083,0.0417,11.3333,Scoring PG
Shawn Williams,Arkansas Pine Bluff,SWAC,7,9.2,88.8,16,36.2,39.84,2.4,7.2,3.6,7.6,4,5,0.8,3,12,0.25,5,17,0.294,0,0,17.2,Sr,-2.06352,-3.71243,0.2857,0.8571,1.1429,0.2857,0,0,3.5714,Wing G
Ty Groce,Butler,BE,15,83.7,115.5,21.8,56.7,59.31,5.6,18.7,13.9,12,37,50,0.74,73,125,0.584,16,46,0.348,2.8,2.3,29.2,Sr,3.732,-0.385067,1.7778,5.1111,6.8889,2,1.3333,0.8889,15.1667,Wing F
Chris Lester,New Hampshire,AE,18,33.1,88.3,15.2,31.4,38.17,7.4,9.1,6.4,11.3,16,25,0.64,7,21,0.333,6,30,0.2,0,1.2,49,Sr,-2.97767,-1.42978,1.0526,1.2105,2.2632,0.5789,0.3158,0.0526,3,Wing F
Dimencio Vaughn,Rider,MAAC,16,9.8,64.6,22.9,39.3,39.5,6.3,19.5,6.8,35.1,5,13,0.385,8,16,0.5,2,12,0.167,1.1,3.2,46.4,Sr,-8.71279,1.49716,0.375,1.125,1.5,0.25,0.375,0.0625,1.6875,Wing F
Ahsante Shivers,Southern,SWAC,10,36.9,89.6,19.8,43.2,46.37,2.1,12.4,9.4,16.7,18,27,0.667,20,48,0.417,14,47,0.298,1.1,2.9,28.4,Sr,-2.36196,0.256171,0.5,3.1,3.6,1.3,1.5,0.3,10,Combo G
Shandon Goldman,Tennessee Tech,OVC,27,58.3,96.8,18.7,54.1,53.28,5.9,16.8,13.9,21.3,16,37,0.432,36,60,0.6,38,112,0.339,1.9,1.4,21.5,Sr,-0.46361,-1.23837,1.1852,3.3333,4.5185,1.5926,0.5926,0.4074,7.4815,Stretch 4
Andre Jones,Louisiana Monroe,SB,21,58.7,95.7,24,48.5,52.11,2,18.3,21.9,23.3,44,60,0.733,82,151,0.543,9,46,0.196,1.5,2.1,30.5,Sr,-1.23216,-0.330104,0.5,4.5455,5.0455,3.1818,1.0455,0.4091,10.8636,Wing G
Josh Parrish,San Diego,WCC,14,68.5,103,19.5,56.1,57.68,4.4,10.6,13.2,17.6,27,43,0.628,57,100,0.57,2,7,0.286,1,1.7,40.2,Sr,0.306283,0.265678,1.1429,2.5,3.6429,1.7143,0.8571,0.2857,10.5,Wing G
Tyler Stewart,St. Francis PA,NEC,11,13.5,81.5,26.3,46.4,50.27,8.4,15.4,7,30.8,8,10,0.8,9,25,0.36,7,17,0.412,0.9,1.9,23.8,Sr,-5.19974,-1.90281,0.8182,1.4545,2.2727,0.3636,0.3636,0.0909,4.2727,Stretch 4
Nysier Brooks,Mississippi,SEC,27,68.1,104.5,16.1,51.7,54.93,9.9,14.3,5.7,18.2,50,78,0.641,75,140,0.536,0,5,0,4,1.4,53.8,Sr,-0.588984,0.587945,2.3704,3.3704,5.7407,0.7778,0.6296,0.963,7.4074,C
C.J. Keyser,Old Dominion,CUSA,13,78.9,97.4,27,49.2,52.06,2.5,11,13.1,15.5,36,52,0.692,63,127,0.496,16,50,0.32,1.6,1.4,29.4,Sr,1.18615,-2.52507,0.6429,3,3.6429,1.5,1,0.4286,16.5714,Wing G
